iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
GRD,North America,Grenada,2021-06-02,161.0,0.0,0.0,1.0,0.0,0.0,1430.869,0.0,0.0,8.887,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,25544.0,17344.0,8200.0,,284.0,22.7,15.41,7.29,2524.0,,112519.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779
GTM,North America,Guatemala,2021-06-02,257167.0,1334.0,981.571,8214.0,31.0,22.286,14354.388,74.46,54.789,458.484,1.73,1.244,1.04,,,,,,,,,1104.0,1420011.0,79.261,0.062,5263.0,0.294,0.184,5.4,people tested,540944.0,452036.0,88908.0,26704.0,18773.0,3.02,2.52,0.5,1048.0,51.85,17915567.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663
GGY,Europe,Guernsey,2021-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67253.0,,,627.0,713.0,100.3,,,10634.0,,67052.0,,,,,,,,,,,,,,
GIN,Africa,Guinea,2021-06-02,23194.0,0.0,16.286,162.0,0.0,0.286,1766.113,0.0,1.24,12.336,0.0,0.022,0.9,,,,,,,,,,,,,,,,,,352700.0,264950.0,87750.0,16432.0,11254.0,2.69,2.02,0.67,857.0,58.33,13132792.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477
GNB,Africa,Guinea-Bissau,2021-06-02,3783.0,13.0,4.286,68.0,0.0,0.0,1922.258,6.606,2.178,34.553,0.0,0.0,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967998.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48
GUY,South America,Guyana,2021-06-02,17257.0,143.0,100.143,396.0,5.0,3.143,21939.867,181.805,127.318,503.459,6.357,3.996,1.0,,,,,,,,,,,,,,,,,,274625.0,203847.0,70778.0,,3626.0,34.91,25.92,9.0,4610.0,,786559.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682
HTI,North America,Haiti,2021-06-02,14711.0,146.0,96.286,319.0,2.0,3.857,1290.152,12.804,8.444,27.976,0.175,0.338,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,38.89,11402533.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51
HND,North America,Honduras,2021-06-02,239428.0,608.0,643.571,6403.0,24.0,23.286,24173.395,61.386,64.977,646.467,2.423,2.351,1.02,,,,,,,,,,,,,,,,,,317257.0,209704.0,27585.0,,17094.0,3.2,2.12,0.28,1726.0,,9904608.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634
HKG,Asia,Hong Kong,2021-06-02,11848.0,0.0,1.714,210.0,0.0,0.0,1580.368,0.0,0.229,28.011,0.0,0.0,,,,,,,,,,,,,,,,,,,2466461.0,1419065.0,1047396.0,32415.0,34613.0,32.9,18.93,13.97,4617.0,71.3,7496988.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949
HUN,Europe,Hungary,2021-06-02,804987.0,275.0,323.429,29774.0,13.0,21.714,83328.968,28.467,33.48,3082.083,1.346,2.248,0.59,,,1420.0,146.993,,,,,12782.0,5386794.0,557.619,1.323,12467.0,1.291,0.027,36.9,tests performed,8901553.0,5206951.0,3694602.0,69276.0,94961.0,92.15,53.9,38.25,9830.0,,9660350.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854
ISL,Europe,Iceland,2021-06-02,6555.0,0.0,0.0,29.0,0.0,0.0,19208.791,0.0,0.0,84.982,0.0,0.0,0.15,,,,,,,0.937,2.746,,,,,,,,,,258829.0,177511.0,94950.0,5876.0,3007.0,75.85,52.02,27.82,8812.0,37.96,341250.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949
IND,Asia,India,2021-06-02,28441986.0,134154.0,153270.429,337989.0,2887.0,3250.571,20610.069,97.213,111.065,244.919,2.092,2.355,0.76,,,,,,,,,1925374.0,346792257.0,251.298,1.395,2028297.0,1.47,0.086,11.7,samples tested,215678166.0,171866824.0,43811342.0,2542428.0,2464650.0,15.63,12.45,3.17,1786.0,81.94,1380004385.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645
IDN,Asia,Indonesia,2021-06-02,1831773.0,5246.0,5793.143,50908.0,185.0,162.429,6696.946,19.179,21.18,186.119,0.676,0.594,1.14,,,,,,,,,53491.0,11251308.0,41.135,0.196,61588.0,0.225,0.094,10.6,people tested,27619247.0,16766263.0,10852984.0,310366.0,230810.0,10.1,6.13,3.97,844.0,68.98,273523621.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718
OWID_INT,,International,2021-06-02,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2021-06-02,2935443.0,11620.0,9939.857,80488.0,161.0,181.286,34948.682,138.345,118.342,958.271,1.917,2.158,0.91,,,,,,,,,,19936548.0,237.36,,126004.0,1.5,0.079,12.7,tests performed,3141577.0,2738504.0,403073.0,,116028.0,3.74,3.26,0.48,1381.0,72.22,83992953.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783
